Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : sketch
Num Clients : 25
Batch size : 64
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

retracing `sketch_for_vector`
EpochMetrics(epoch=251, total_rounds=387, total_fda_steps=9413, accuracy=0.9868000149726868)
EpochMetrics(epoch=252, total_rounds=388, total_fda_steps=9450, accuracy=0.9865999817848206)
EpochMetrics(epoch=253, total_rounds=389, total_fda_steps=9488, accuracy=0.9865000247955322)
EpochMetrics(epoch=254, total_rounds=390, total_fda_steps=9525, accuracy=0.9865999817848206)
EpochMetrics(epoch=255, total_rounds=392, total_fda_steps=9563, accuracy=0.9864000082015991)
EpochMetrics(epoch=256, total_rounds=393, total_fda_steps=9600, accuracy=0.9868000149726868)
EpochMetrics(epoch=257, total_rounds=393, total_fda_steps=9638, accuracy=0.9861000180244446)
EpochMetrics(epoch=258, total_rounds=395, total_fda_steps=9675, accuracy=0.986299991607666)
EpochMetrics(epoch=259, total_rounds=396, total_fda_steps=9713, accuracy=0.9864000082015991)
EpochMetrics(epoch=260, total_rounds=398, total_fda_steps=9750, accuracy=0.9861999750137329)
EpochMetrics(epoch=261, total_rounds=399, total_fda_steps=9788, accuracy=0.986299991607666)
EpochMetrics(epoch=262, total_rounds=401, total_fda_steps=9825, accuracy=0.9868000149726868)
EpochMetrics(epoch=263, total_rounds=402, total_fda_steps=9863, accuracy=0.9861999750137329)
EpochMetrics(epoch=264, total_rounds=404, total_fda_steps=9900, accuracy=0.9866999983787537)
EpochMetrics(epoch=265, total_rounds=405, total_fda_steps=9938, accuracy=0.9864000082015991)
EpochMetrics(epoch=266, total_rounds=407, total_fda_steps=9975, accuracy=0.9866999983787537)
EpochMetrics(epoch=267, total_rounds=408, total_fda_steps=10013, accuracy=0.986299991607666)
EpochMetrics(epoch=268, total_rounds=409, total_fda_steps=10050, accuracy=0.9865999817848206)
EpochMetrics(epoch=269, total_rounds=410, total_fda_steps=10088, accuracy=0.9865000247955322)
EpochMetrics(epoch=270, total_rounds=412, total_fda_steps=10125, accuracy=0.9861000180244446)
