Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : naive
Num Clients : 60
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=90, total_rounds=153, total_fda_steps=2813, accuracy=0.982699990272522)
EpochMetrics(epoch=91, total_rounds=154, total_fda_steps=2844, accuracy=0.9829999804496765)
EpochMetrics(epoch=92, total_rounds=156, total_fda_steps=2875, accuracy=0.982699990272522)
EpochMetrics(epoch=93, total_rounds=157, total_fda_steps=2907, accuracy=0.9828000068664551)
EpochMetrics(epoch=94, total_rounds=159, total_fda_steps=2938, accuracy=0.983299970626831)
EpochMetrics(epoch=95, total_rounds=160, total_fda_steps=2969, accuracy=0.9829999804496765)
EpochMetrics(epoch=96, total_rounds=162, total_fda_steps=3000, accuracy=0.9833999872207642)
EpochMetrics(epoch=97, total_rounds=163, total_fda_steps=3032, accuracy=0.9828000068664551)
EpochMetrics(epoch=98, total_rounds=165, total_fda_steps=3063, accuracy=0.9832000136375427)
EpochMetrics(epoch=99, total_rounds=166, total_fda_steps=3094, accuracy=0.9836999773979187)
EpochMetrics(epoch=100, total_rounds=168, total_fda_steps=3125, accuracy=0.9837999939918518)
EpochMetrics(epoch=101, total_rounds=169, total_fda_steps=3157, accuracy=0.984000027179718)
EpochMetrics(epoch=102, total_rounds=170, total_fda_steps=3188, accuracy=0.9836999773979187)
EpochMetrics(epoch=103, total_rounds=172, total_fda_steps=3219, accuracy=0.9839000105857849)
EpochMetrics(epoch=104, total_rounds=173, total_fda_steps=3250, accuracy=0.9839000105857849)
EpochMetrics(epoch=105, total_rounds=175, total_fda_steps=3282, accuracy=0.9837999939918518)
EpochMetrics(epoch=106, total_rounds=176, total_fda_steps=3313, accuracy=0.9843000173568726)
EpochMetrics(epoch=107, total_rounds=178, total_fda_steps=3344, accuracy=0.9836000204086304)
EpochMetrics(epoch=108, total_rounds=179, total_fda_steps=3375, accuracy=0.9842000007629395)
EpochMetrics(epoch=109, total_rounds=181, total_fda_steps=3407, accuracy=0.9846000075340271)
EpochMetrics(epoch=110, total_rounds=182, total_fda_steps=3438, accuracy=0.9850999712944031)
EpochMetrics(epoch=111, total_rounds=183, total_fda_steps=3469, accuracy=0.984499990940094)
EpochMetrics(epoch=112, total_rounds=185, total_fda_steps=3500, accuracy=0.9843000173568726)
EpochMetrics(epoch=113, total_rounds=186, total_fda_steps=3532, accuracy=0.9843000173568726)
EpochMetrics(epoch=114, total_rounds=188, total_fda_steps=3563, accuracy=0.9847999811172485)
EpochMetrics(epoch=115, total_rounds=189, total_fda_steps=3594, accuracy=0.9850999712944031)
EpochMetrics(epoch=116, total_rounds=191, total_fda_steps=3625, accuracy=0.984499990940094)
EpochMetrics(epoch=117, total_rounds=192, total_fda_steps=3657, accuracy=0.9854000210762024)
EpochMetrics(epoch=118, total_rounds=194, total_fda_steps=3688, accuracy=0.9847999811172485)
EpochMetrics(epoch=119, total_rounds=195, total_fda_steps=3719, accuracy=0.9857000112533569)
EpochMetrics(epoch=120, total_rounds=196, total_fda_steps=3750, accuracy=0.9850999712944031)
EpochMetrics(epoch=121, total_rounds=198, total_fda_steps=3782, accuracy=0.9854999780654907)
EpochMetrics(epoch=122, total_rounds=199, total_fda_steps=3813, accuracy=0.9855999946594238)
EpochMetrics(epoch=123, total_rounds=201, total_fda_steps=3844, accuracy=0.9854000210762024)
EpochMetrics(epoch=124, total_rounds=202, total_fda_steps=3875, accuracy=0.9855999946594238)
EpochMetrics(epoch=125, total_rounds=204, total_fda_steps=3907, accuracy=0.9855999946594238)
EpochMetrics(epoch=126, total_rounds=205, total_fda_steps=3938, accuracy=0.9855999946594238)
EpochMetrics(epoch=127, total_rounds=206, total_fda_steps=3969, accuracy=0.9851999878883362)
EpochMetrics(epoch=128, total_rounds=208, total_fda_steps=4000, accuracy=0.9854000210762024)
EpochMetrics(epoch=129, total_rounds=209, total_fda_steps=4032, accuracy=0.9858999848365784)
EpochMetrics(epoch=130, total_rounds=211, total_fda_steps=4063, accuracy=0.9853000044822693)
EpochMetrics(epoch=131, total_rounds=212, total_fda_steps=4094, accuracy=0.9864000082015991)
EpochMetrics(epoch=132, total_rounds=214, total_fda_steps=4125, accuracy=0.986299991607666)
EpochMetrics(epoch=133, total_rounds=215, total_fda_steps=4157, accuracy=0.9865000247955322)
EpochMetrics(epoch=134, total_rounds=217, total_fda_steps=4188, accuracy=0.9861000180244446)
EpochMetrics(epoch=135, total_rounds=218, total_fda_steps=4219, accuracy=0.986299991607666)
EpochMetrics(epoch=136, total_rounds=219, total_fda_steps=4250, accuracy=0.9868000149726868)
EpochMetrics(epoch=137, total_rounds=221, total_fda_steps=4282, accuracy=0.9861999750137329)
EpochMetrics(epoch=138, total_rounds=222, total_fda_steps=4313, accuracy=0.986299991607666)
EpochMetrics(epoch=139, total_rounds=224, total_fda_steps=4344, accuracy=0.9861999750137329)
EpochMetrics(epoch=140, total_rounds=225, total_fda_steps=4375, accuracy=0.9861999750137329)
EpochMetrics(epoch=141, total_rounds=227, total_fda_steps=4407, accuracy=0.9860000014305115)
EpochMetrics(epoch=142, total_rounds=228, total_fda_steps=4438, accuracy=0.9861999750137329)
EpochMetrics(epoch=143, total_rounds=229, total_fda_steps=4469, accuracy=0.9861000180244446)
EpochMetrics(epoch=144, total_rounds=231, total_fda_steps=4500, accuracy=0.98580002784729)
EpochMetrics(epoch=145, total_rounds=232, total_fda_steps=4532, accuracy=0.9861999750137329)
EpochMetrics(epoch=146, total_rounds=234, total_fda_steps=4563, accuracy=0.98580002784729)
EpochMetrics(epoch=147, total_rounds=235, total_fda_steps=4594, accuracy=0.9860000014305115)
EpochMetrics(epoch=148, total_rounds=236, total_fda_steps=4625, accuracy=0.9860000014305115)
EpochMetrics(epoch=149, total_rounds=238, total_fda_steps=4657, accuracy=0.986299991607666)
EpochMetrics(epoch=150, total_rounds=239, total_fda_steps=4688, accuracy=0.9857000112533569)
EpochMetrics(epoch=151, total_rounds=241, total_fda_steps=4719, accuracy=0.986299991607666)
EpochMetrics(epoch=152, total_rounds=242, total_fda_steps=4750, accuracy=0.9858999848365784)
EpochMetrics(epoch=153, total_rounds=243, total_fda_steps=4782, accuracy=0.9858999848365784)
EpochMetrics(epoch=154, total_rounds=245, total_fda_steps=4813, accuracy=0.9861999750137329)
EpochMetrics(epoch=155, total_rounds=246, total_fda_steps=4844, accuracy=0.9868999719619751)
EpochMetrics(epoch=156, total_rounds=248, total_fda_steps=4875, accuracy=0.9866999983787537)
EpochMetrics(epoch=157, total_rounds=249, total_fda_steps=4907, accuracy=0.9864000082015991)
EpochMetrics(epoch=158, total_rounds=250, total_fda_steps=4938, accuracy=0.986299991607666)
EpochMetrics(epoch=159, total_rounds=252, total_fda_steps=4969, accuracy=0.9861999750137329)
EpochMetrics(epoch=160, total_rounds=253, total_fda_steps=5000, accuracy=0.9866999983787537)
EpochMetrics(epoch=161, total_rounds=254, total_fda_steps=5032, accuracy=0.9864000082015991)
EpochMetrics(epoch=162, total_rounds=256, total_fda_steps=5063, accuracy=0.986299991607666)
EpochMetrics(epoch=163, total_rounds=257, total_fda_steps=5094, accuracy=0.9866999983787537)
EpochMetrics(epoch=164, total_rounds=259, total_fda_steps=5125, accuracy=0.9868999719619751)
EpochMetrics(epoch=165, total_rounds=260, total_fda_steps=5157, accuracy=0.9864000082015991)
EpochMetrics(epoch=166, total_rounds=261, total_fda_steps=5188, accuracy=0.9868000149726868)
EpochMetrics(epoch=167, total_rounds=263, total_fda_steps=5219, accuracy=0.9871000051498413)
EpochMetrics(epoch=168, total_rounds=264, total_fda_steps=5250, accuracy=0.9868999719619751)
EpochMetrics(epoch=169, total_rounds=266, total_fda_steps=5282, accuracy=0.9868999719619751)
EpochMetrics(epoch=170, total_rounds=267, total_fda_steps=5313, accuracy=0.9868999719619751)
EpochMetrics(epoch=171, total_rounds=268, total_fda_steps=5344, accuracy=0.9871000051498413)
EpochMetrics(epoch=172, total_rounds=270, total_fda_steps=5375, accuracy=0.9868000149726868)
EpochMetrics(epoch=173, total_rounds=271, total_fda_steps=5407, accuracy=0.9871000051498413)
EpochMetrics(epoch=174, total_rounds=273, total_fda_steps=5438, accuracy=0.9871000051498413)
EpochMetrics(epoch=175, total_rounds=274, total_fda_steps=5469, accuracy=0.9869999885559082)
EpochMetrics(epoch=176, total_rounds=275, total_fda_steps=5500, accuracy=0.9868000149726868)
EpochMetrics(epoch=177, total_rounds=277, total_fda_steps=5532, accuracy=0.9873999953269958)
EpochMetrics(epoch=178, total_rounds=278, total_fda_steps=5563, accuracy=0.9869999885559082)
