Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : synchronous
Num Clients : 40
Batch size : 64
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=88, total_rounds=2063, total_fda_steps=2063, accuracy=0.9851999878883362)
EpochMetrics(epoch=89, total_rounds=2086, total_fda_steps=2086, accuracy=0.9857000112533569)
EpochMetrics(epoch=90, total_rounds=2110, total_fda_steps=2110, accuracy=0.9847999811172485)
EpochMetrics(epoch=91, total_rounds=2133, total_fda_steps=2133, accuracy=0.9858999848365784)
EpochMetrics(epoch=92, total_rounds=2157, total_fda_steps=2157, accuracy=0.9860000014305115)
EpochMetrics(epoch=93, total_rounds=2180, total_fda_steps=2180, accuracy=0.9861000180244446)
EpochMetrics(epoch=94, total_rounds=2204, total_fda_steps=2204, accuracy=0.98580002784729)
EpochMetrics(epoch=95, total_rounds=2227, total_fda_steps=2227, accuracy=0.9855999946594238)
EpochMetrics(epoch=96, total_rounds=2250, total_fda_steps=2250, accuracy=0.986299991607666)
EpochMetrics(epoch=97, total_rounds=2274, total_fda_steps=2274, accuracy=0.9858999848365784)
EpochMetrics(epoch=98, total_rounds=2297, total_fda_steps=2297, accuracy=0.9855999946594238)
EpochMetrics(epoch=99, total_rounds=2321, total_fda_steps=2321, accuracy=0.9854999780654907)
EpochMetrics(epoch=100, total_rounds=2344, total_fda_steps=2344, accuracy=0.9860000014305115)
EpochMetrics(epoch=101, total_rounds=2368, total_fda_steps=2368, accuracy=0.9864000082015991)
EpochMetrics(epoch=102, total_rounds=2391, total_fda_steps=2391, accuracy=0.9861999750137329)
EpochMetrics(epoch=103, total_rounds=2415, total_fda_steps=2415, accuracy=0.9858999848365784)
EpochMetrics(epoch=104, total_rounds=2438, total_fda_steps=2438, accuracy=0.986299991607666)
EpochMetrics(epoch=105, total_rounds=2461, total_fda_steps=2461, accuracy=0.98580002784729)
EpochMetrics(epoch=106, total_rounds=2485, total_fda_steps=2485, accuracy=0.986299991607666)
EpochMetrics(epoch=107, total_rounds=2508, total_fda_steps=2508, accuracy=0.9868000149726868)
EpochMetrics(epoch=108, total_rounds=2532, total_fda_steps=2532, accuracy=0.9866999983787537)
EpochMetrics(epoch=109, total_rounds=2555, total_fda_steps=2555, accuracy=0.9865999817848206)
EpochMetrics(epoch=110, total_rounds=2579, total_fda_steps=2579, accuracy=0.9869999885559082)
EpochMetrics(epoch=111, total_rounds=2602, total_fda_steps=2602, accuracy=0.9861000180244446)
