Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : linear
Num Clients : 50
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=121, total_rounds=226, total_fda_steps=4538, accuracy=0.9868999719619751)
EpochMetrics(epoch=122, total_rounds=228, total_fda_steps=4575, accuracy=0.9865999817848206)
EpochMetrics(epoch=123, total_rounds=230, total_fda_steps=4613, accuracy=0.9865999817848206)
EpochMetrics(epoch=124, total_rounds=231, total_fda_steps=4650, accuracy=0.9866999983787537)
EpochMetrics(epoch=125, total_rounds=233, total_fda_steps=4688, accuracy=0.9871000051498413)
EpochMetrics(epoch=126, total_rounds=235, total_fda_steps=4725, accuracy=0.9872000217437744)
EpochMetrics(epoch=127, total_rounds=237, total_fda_steps=4763, accuracy=0.9868999719619751)
EpochMetrics(epoch=128, total_rounds=238, total_fda_steps=4800, accuracy=0.9869999885559082)
EpochMetrics(epoch=129, total_rounds=240, total_fda_steps=4838, accuracy=0.9873999953269958)
EpochMetrics(epoch=130, total_rounds=241, total_fda_steps=4875, accuracy=0.987500011920929)
EpochMetrics(epoch=131, total_rounds=243, total_fda_steps=4913, accuracy=0.9872000217437744)
EpochMetrics(epoch=132, total_rounds=245, total_fda_steps=4950, accuracy=0.9866999983787537)
EpochMetrics(epoch=133, total_rounds=246, total_fda_steps=4988, accuracy=0.9866999983787537)
EpochMetrics(epoch=134, total_rounds=248, total_fda_steps=5025, accuracy=0.9868999719619751)
EpochMetrics(epoch=135, total_rounds=250, total_fda_steps=5063, accuracy=0.9866999983787537)
EpochMetrics(epoch=136, total_rounds=251, total_fda_steps=5100, accuracy=0.9869999885559082)
EpochMetrics(epoch=137, total_rounds=253, total_fda_steps=5138, accuracy=0.9869999885559082)
EpochMetrics(epoch=138, total_rounds=255, total_fda_steps=5175, accuracy=0.9872999787330627)
EpochMetrics(epoch=139, total_rounds=256, total_fda_steps=5213, accuracy=0.9868999719619751)
EpochMetrics(epoch=140, total_rounds=258, total_fda_steps=5250, accuracy=0.9868000149726868)
EpochMetrics(epoch=141, total_rounds=260, total_fda_steps=5288, accuracy=0.9866999983787537)
EpochMetrics(epoch=142, total_rounds=262, total_fda_steps=5325, accuracy=0.9868999719619751)
EpochMetrics(epoch=143, total_rounds=263, total_fda_steps=5363, accuracy=0.9872999787330627)
EpochMetrics(epoch=144, total_rounds=265, total_fda_steps=5400, accuracy=0.9866999983787537)
EpochMetrics(epoch=145, total_rounds=266, total_fda_steps=5438, accuracy=0.9872999787330627)
EpochMetrics(epoch=146, total_rounds=268, total_fda_steps=5475, accuracy=0.9868999719619751)
EpochMetrics(epoch=147, total_rounds=270, total_fda_steps=5513, accuracy=0.987500011920929)
EpochMetrics(epoch=148, total_rounds=271, total_fda_steps=5550, accuracy=0.9865999817848206)
EpochMetrics(epoch=149, total_rounds=273, total_fda_steps=5588, accuracy=0.9872999787330627)
EpochMetrics(epoch=150, total_rounds=275, total_fda_steps=5625, accuracy=0.9869999885559082)
EpochMetrics(epoch=151, total_rounds=277, total_fda_steps=5663, accuracy=0.9866999983787537)
EpochMetrics(epoch=152, total_rounds=278, total_fda_steps=5700, accuracy=0.9873999953269958)
EpochMetrics(epoch=153, total_rounds=280, total_fda_steps=5738, accuracy=0.9871000051498413)
EpochMetrics(epoch=154, total_rounds=282, total_fda_steps=5775, accuracy=0.9873999953269958)
EpochMetrics(epoch=155, total_rounds=283, total_fda_steps=5813, accuracy=0.9872000217437744)
EpochMetrics(epoch=156, total_rounds=285, total_fda_steps=5850, accuracy=0.9872999787330627)
EpochMetrics(epoch=157, total_rounds=287, total_fda_steps=5888, accuracy=0.9873999953269958)
EpochMetrics(epoch=158, total_rounds=288, total_fda_steps=5925, accuracy=0.9873999953269958)
EpochMetrics(epoch=159, total_rounds=290, total_fda_steps=5963, accuracy=0.9873999953269958)
EpochMetrics(epoch=160, total_rounds=292, total_fda_steps=6000, accuracy=0.9872999787330627)
EpochMetrics(epoch=161, total_rounds=294, total_fda_steps=6038, accuracy=0.987500011920929)
EpochMetrics(epoch=162, total_rounds=295, total_fda_steps=6075, accuracy=0.987500011920929)
EpochMetrics(epoch=163, total_rounds=297, total_fda_steps=6113, accuracy=0.9868999719619751)
EpochMetrics(epoch=164, total_rounds=299, total_fda_steps=6150, accuracy=0.9876999855041504)
EpochMetrics(epoch=165, total_rounds=301, total_fda_steps=6188, accuracy=0.9873999953269958)
EpochMetrics(epoch=166, total_rounds=302, total_fda_steps=6225, accuracy=0.9876999855041504)
EpochMetrics(epoch=167, total_rounds=304, total_fda_steps=6263, accuracy=0.9868999719619751)
EpochMetrics(epoch=168, total_rounds=305, total_fda_steps=6300, accuracy=0.9876000285148621)
EpochMetrics(epoch=169, total_rounds=307, total_fda_steps=6338, accuracy=0.9879000186920166)
EpochMetrics(epoch=170, total_rounds=308, total_fda_steps=6375, accuracy=0.9871000051498413)
EpochMetrics(epoch=171, total_rounds=310, total_fda_steps=6413, accuracy=0.9876999855041504)
EpochMetrics(epoch=172, total_rounds=311, total_fda_steps=6450, accuracy=0.9876000285148621)
EpochMetrics(epoch=173, total_rounds=313, total_fda_steps=6488, accuracy=0.9878000020980835)
EpochMetrics(epoch=174, total_rounds=315, total_fda_steps=6525, accuracy=0.9872999787330627)
EpochMetrics(epoch=175, total_rounds=316, total_fda_steps=6563, accuracy=0.9872999787330627)
EpochMetrics(epoch=176, total_rounds=318, total_fda_steps=6600, accuracy=0.9876999855041504)
EpochMetrics(epoch=177, total_rounds=320, total_fda_steps=6638, accuracy=0.9879000186920166)
EpochMetrics(epoch=178, total_rounds=321, total_fda_steps=6675, accuracy=0.987500011920929)
EpochMetrics(epoch=179, total_rounds=323, total_fda_steps=6713, accuracy=0.9872000217437744)
EpochMetrics(epoch=180, total_rounds=324, total_fda_steps=6750, accuracy=0.987500011920929)
EpochMetrics(epoch=181, total_rounds=326, total_fda_steps=6788, accuracy=0.9879000186920166)
EpochMetrics(epoch=182, total_rounds=328, total_fda_steps=6825, accuracy=0.987500011920929)
EpochMetrics(epoch=183, total_rounds=329, total_fda_steps=6863, accuracy=0.9876000285148621)
EpochMetrics(epoch=184, total_rounds=331, total_fda_steps=6900, accuracy=0.9878000020980835)
EpochMetrics(epoch=185, total_rounds=333, total_fda_steps=6938, accuracy=0.9876000285148621)
EpochMetrics(epoch=186, total_rounds=334, total_fda_steps=6975, accuracy=0.9873999953269958)
EpochMetrics(epoch=187, total_rounds=336, total_fda_steps=7013, accuracy=0.9873999953269958)
EpochMetrics(epoch=188, total_rounds=338, total_fda_steps=7050, accuracy=0.9879000186920166)
EpochMetrics(epoch=189, total_rounds=340, total_fda_steps=7088, accuracy=0.9878000020980835)
EpochMetrics(epoch=190, total_rounds=341, total_fda_steps=7125, accuracy=0.9876000285148621)
EpochMetrics(epoch=191, total_rounds=343, total_fda_steps=7163, accuracy=0.9879999756813049)
EpochMetrics(epoch=192, total_rounds=345, total_fda_steps=7200, accuracy=0.9882000088691711)
EpochMetrics(epoch=193, total_rounds=346, total_fda_steps=7238, accuracy=0.9878000020980835)
EpochMetrics(epoch=194, total_rounds=348, total_fda_steps=7275, accuracy=0.9879999756813049)
EpochMetrics(epoch=195, total_rounds=349, total_fda_steps=7313, accuracy=0.9878000020980835)
EpochMetrics(epoch=196, total_rounds=351, total_fda_steps=7350, accuracy=0.9876999855041504)
EpochMetrics(epoch=197, total_rounds=352, total_fda_steps=7388, accuracy=0.9879999756813049)
EpochMetrics(epoch=198, total_rounds=354, total_fda_steps=7425, accuracy=0.988099992275238)
EpochMetrics(epoch=199, total_rounds=356, total_fda_steps=7463, accuracy=0.988099992275238)
EpochMetrics(epoch=200, total_rounds=357, total_fda_steps=7500, accuracy=0.9883000254631042)
EpochMetrics(epoch=201, total_rounds=359, total_fda_steps=7538, accuracy=0.9879000186920166)
EpochMetrics(epoch=202, total_rounds=360, total_fda_steps=7575, accuracy=0.988099992275238)
EpochMetrics(epoch=203, total_rounds=362, total_fda_steps=7613, accuracy=0.9879000186920166)
EpochMetrics(epoch=204, total_rounds=364, total_fda_steps=7650, accuracy=0.9879000186920166)
EpochMetrics(epoch=205, total_rounds=365, total_fda_steps=7688, accuracy=0.9879000186920166)
EpochMetrics(epoch=206, total_rounds=367, total_fda_steps=7725, accuracy=0.987500011920929)
EpochMetrics(epoch=207, total_rounds=368, total_fda_steps=7763, accuracy=0.9882000088691711)
EpochMetrics(epoch=208, total_rounds=370, total_fda_steps=7800, accuracy=0.9883000254631042)
EpochMetrics(epoch=209, total_rounds=371, total_fda_steps=7838, accuracy=0.9882000088691711)
EpochMetrics(epoch=210, total_rounds=373, total_fda_steps=7875, accuracy=0.987500011920929)
EpochMetrics(epoch=211, total_rounds=374, total_fda_steps=7913, accuracy=0.9878000020980835)
EpochMetrics(epoch=212, total_rounds=376, total_fda_steps=7950, accuracy=0.9879000186920166)
EpochMetrics(epoch=213, total_rounds=377, total_fda_steps=7988, accuracy=0.9876999855041504)
EpochMetrics(epoch=214, total_rounds=379, total_fda_steps=8025, accuracy=0.987500011920929)
EpochMetrics(epoch=215, total_rounds=380, total_fda_steps=8063, accuracy=0.9879999756813049)
EpochMetrics(epoch=216, total_rounds=382, total_fda_steps=8100, accuracy=0.9876000285148621)
EpochMetrics(epoch=217, total_rounds=383, total_fda_steps=8138, accuracy=0.9879999756813049)
EpochMetrics(epoch=218, total_rounds=384, total_fda_steps=8175, accuracy=0.9879000186920166)
EpochMetrics(epoch=219, total_rounds=386, total_fda_steps=8213, accuracy=0.9879999756813049)
EpochMetrics(epoch=220, total_rounds=387, total_fda_steps=8250, accuracy=0.9876000285148621)
EpochMetrics(epoch=221, total_rounds=389, total_fda_steps=8288, accuracy=0.9876999855041504)
EpochMetrics(epoch=222, total_rounds=390, total_fda_steps=8325, accuracy=0.9876000285148621)
EpochMetrics(epoch=223, total_rounds=392, total_fda_steps=8363, accuracy=0.9873999953269958)
EpochMetrics(epoch=224, total_rounds=394, total_fda_steps=8400, accuracy=0.9876999855041504)
EpochMetrics(epoch=225, total_rounds=395, total_fda_steps=8438, accuracy=0.987500011920929)
EpochMetrics(epoch=226, total_rounds=396, total_fda_steps=8475, accuracy=0.9876000285148621)
EpochMetrics(epoch=227, total_rounds=398, total_fda_steps=8513, accuracy=0.9876000285148621)
EpochMetrics(epoch=228, total_rounds=400, total_fda_steps=8550, accuracy=0.9872999787330627)
EpochMetrics(epoch=229, total_rounds=401, total_fda_steps=8588, accuracy=0.9876000285148621)
EpochMetrics(epoch=230, total_rounds=403, total_fda_steps=8625, accuracy=0.9872999787330627)
EpochMetrics(epoch=231, total_rounds=405, total_fda_steps=8663, accuracy=0.9876999855041504)
EpochMetrics(epoch=232, total_rounds=406, total_fda_steps=8700, accuracy=0.988099992275238)
EpochMetrics(epoch=233, total_rounds=408, total_fda_steps=8738, accuracy=0.987500011920929)
EpochMetrics(epoch=234, total_rounds=409, total_fda_steps=8775, accuracy=0.9879999756813049)
EpochMetrics(epoch=235, total_rounds=411, total_fda_steps=8813, accuracy=0.9884999990463257)
EpochMetrics(epoch=236, total_rounds=412, total_fda_steps=8850, accuracy=0.9883999824523926)
EpochMetrics(epoch=237, total_rounds=414, total_fda_steps=8888, accuracy=0.9879000186920166)
EpochMetrics(epoch=238, total_rounds=415, total_fda_steps=8925, accuracy=0.9878000020980835)
EpochMetrics(epoch=239, total_rounds=417, total_fda_steps=8963, accuracy=0.9876000285148621)
EpochMetrics(epoch=240, total_rounds=418, total_fda_steps=9000, accuracy=0.9879000186920166)
