Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=85, total_rounds=67, total_fda_steps=13282, accuracy=0.7842000126838684, train_accuracy=0.78125)
EpochMetrics(epoch=86, total_rounds=68, total_fda_steps=13438, accuracy=0.784600019454956, train_accuracy=0.8)
EpochMetrics(epoch=87, total_rounds=68, total_fda_steps=13594, accuracy=0.7893000245094299, train_accuracy=0.81875)
EpochMetrics(epoch=88, total_rounds=69, total_fda_steps=13750, accuracy=0.7915999889373779, train_accuracy=0.78125)
EpochMetrics(epoch=89, total_rounds=70, total_fda_steps=13907, accuracy=0.7878000140190125, train_accuracy=0.859375)
EpochMetrics(epoch=90, total_rounds=71, total_fda_steps=14063, accuracy=0.7912999987602234, train_accuracy=0.796875)
EpochMetrics(epoch=91, total_rounds=72, total_fda_steps=14219, accuracy=0.7889000177383423, train_accuracy=0.85)
EpochMetrics(epoch=92, total_rounds=72, total_fda_steps=14375, accuracy=0.7889999747276306, train_accuracy=0.85)
EpochMetrics(epoch=93, total_rounds=73, total_fda_steps=14532, accuracy=0.7878999710083008, train_accuracy=0.803125)
EpochMetrics(epoch=94, total_rounds=74, total_fda_steps=14688, accuracy=0.7950000166893005, train_accuracy=0.815625)
EpochMetrics(epoch=95, total_rounds=75, total_fda_steps=14844, accuracy=0.7939000129699707, train_accuracy=0.83125)
EpochMetrics(epoch=96, total_rounds=76, total_fda_steps=15000, accuracy=0.7924000024795532, train_accuracy=0.8375)
EpochMetrics(epoch=97, total_rounds=77, total_fda_steps=15157, accuracy=0.7940999865531921, train_accuracy=0.85625)
EpochMetrics(epoch=98, total_rounds=77, total_fda_steps=15313, accuracy=0.7925999760627747, train_accuracy=0.83125)
EpochMetrics(epoch=99, total_rounds=78, total_fda_steps=15469, accuracy=0.7980999946594238, train_accuracy=0.80625)
EpochMetrics(epoch=100, total_rounds=79, total_fda_steps=15625, accuracy=0.7907000184059143, train_accuracy=0.76875)
EpochMetrics(epoch=101, total_rounds=80, total_fda_steps=15782, accuracy=0.7935000061988831, train_accuracy=0.8125)
EpochMetrics(epoch=102, total_rounds=81, total_fda_steps=15938, accuracy=0.796999990940094, train_accuracy=0.85)
EpochMetrics(epoch=103, total_rounds=82, total_fda_steps=16094, accuracy=0.7972999811172485, train_accuracy=0.834375)
EpochMetrics(epoch=104, total_rounds=83, total_fda_steps=16250, accuracy=0.7955999970436096, train_accuracy=0.8625)
EpochMetrics(epoch=105, total_rounds=84, total_fda_steps=16407, accuracy=0.7944999933242798, train_accuracy=0.88125)
EpochMetrics(epoch=106, total_rounds=84, total_fda_steps=16563, accuracy=0.8037999868392944, train_accuracy=0.8375)
EpochMetrics(epoch=107, total_rounds=85, total_fda_steps=16719, accuracy=0.8014000058174133, train_accuracy=0.871875)
EpochMetrics(epoch=108, total_rounds=86, total_fda_steps=16875, accuracy=0.7998999953269958, train_accuracy=0.859375)
EpochMetrics(epoch=109, total_rounds=87, total_fda_steps=17032, accuracy=0.7982000112533569, train_accuracy=0.8375)
EpochMetrics(epoch=110, total_rounds=88, total_fda_steps=17188, accuracy=0.7950999736785889, train_accuracy=0.85)
EpochMetrics(epoch=111, total_rounds=89, total_fda_steps=17344, accuracy=0.8008999824523926, train_accuracy=0.796875)
EpochMetrics(epoch=112, total_rounds=90, total_fda_steps=17500, accuracy=0.803600013256073, train_accuracy=0.8375)
EpochMetrics(epoch=113, total_rounds=91, total_fda_steps=17657, accuracy=0.8034999966621399, train_accuracy=0.84375)
