Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 15
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=75, total_rounds=57, total_fda_steps=7813, accuracy=0.7741000056266785, train_accuracy=0.7708333)
EpochMetrics(epoch=76, total_rounds=57, total_fda_steps=7917, accuracy=0.7659000158309937, train_accuracy=0.8229167)
EpochMetrics(epoch=77, total_rounds=58, total_fda_steps=8021, accuracy=0.7720999717712402, train_accuracy=0.7875)
EpochMetrics(epoch=78, total_rounds=59, total_fda_steps=8126, accuracy=0.7700999975204468, train_accuracy=0.7729167)
EpochMetrics(epoch=79, total_rounds=59, total_fda_steps=8230, accuracy=0.7696999907493591, train_accuracy=0.81041664)
EpochMetrics(epoch=80, total_rounds=60, total_fda_steps=8334, accuracy=0.7666000127792358, train_accuracy=0.81041664)
EpochMetrics(epoch=81, total_rounds=61, total_fda_steps=8438, accuracy=0.7763000130653381, train_accuracy=0.7625)
EpochMetrics(epoch=82, total_rounds=61, total_fda_steps=8542, accuracy=0.7700999975204468, train_accuracy=0.8333333)
EpochMetrics(epoch=83, total_rounds=62, total_fda_steps=8646, accuracy=0.7712000012397766, train_accuracy=0.76458335)
EpochMetrics(epoch=84, total_rounds=63, total_fda_steps=8751, accuracy=0.7731999754905701, train_accuracy=0.775)
EpochMetrics(epoch=85, total_rounds=64, total_fda_steps=8855, accuracy=0.7793999910354614, train_accuracy=0.79583335)
EpochMetrics(epoch=86, total_rounds=64, total_fda_steps=8959, accuracy=0.7735000252723694, train_accuracy=0.79583335)
EpochMetrics(epoch=87, total_rounds=65, total_fda_steps=9063, accuracy=0.7825000286102295, train_accuracy=0.78333336)
EpochMetrics(epoch=88, total_rounds=66, total_fda_steps=9167, accuracy=0.7821000218391418, train_accuracy=0.80833334)
EpochMetrics(epoch=89, total_rounds=66, total_fda_steps=9271, accuracy=0.7815999984741211, train_accuracy=0.78125)
EpochMetrics(epoch=90, total_rounds=67, total_fda_steps=9376, accuracy=0.7821999788284302, train_accuracy=0.78125)
EpochMetrics(epoch=91, total_rounds=68, total_fda_steps=9480, accuracy=0.784500002861023, train_accuracy=0.78333336)
EpochMetrics(epoch=92, total_rounds=69, total_fda_steps=9584, accuracy=0.7901999950408936, train_accuracy=0.80625)
EpochMetrics(epoch=93, total_rounds=69, total_fda_steps=9688, accuracy=0.7851999998092651, train_accuracy=0.8229167)
EpochMetrics(epoch=94, total_rounds=70, total_fda_steps=9792, accuracy=0.7843000292778015, train_accuracy=0.81875)
EpochMetrics(epoch=95, total_rounds=71, total_fda_steps=9896, accuracy=0.7875999808311462, train_accuracy=0.8229167)
EpochMetrics(epoch=96, total_rounds=72, total_fda_steps=10001, accuracy=0.7904999852180481, train_accuracy=0.82916665)
EpochMetrics(epoch=97, total_rounds=72, total_fda_steps=10105, accuracy=0.7843999862670898, train_accuracy=0.82916665)
EpochMetrics(epoch=98, total_rounds=73, total_fda_steps=10209, accuracy=0.7807000279426575, train_accuracy=0.81875)
EpochMetrics(epoch=99, total_rounds=74, total_fda_steps=10313, accuracy=0.788100004196167, train_accuracy=0.82708335)
EpochMetrics(epoch=100, total_rounds=75, total_fda_steps=10417, accuracy=0.7922999858856201, train_accuracy=0.80833334)
EpochMetrics(epoch=101, total_rounds=75, total_fda_steps=10521, accuracy=0.7835000157356262, train_accuracy=0.82708335)
EpochMetrics(epoch=102, total_rounds=76, total_fda_steps=10626, accuracy=0.7838000059127808, train_accuracy=0.8354167)
EpochMetrics(epoch=103, total_rounds=77, total_fda_steps=10730, accuracy=0.7872999906539917, train_accuracy=0.84583336)
EpochMetrics(epoch=104, total_rounds=78, total_fda_steps=10834, accuracy=0.7925000190734863, train_accuracy=0.81041664)
EpochMetrics(epoch=105, total_rounds=79, total_fda_steps=10938, accuracy=0.7900000214576721, train_accuracy=0.84375)
EpochMetrics(epoch=106, total_rounds=79, total_fda_steps=11042, accuracy=0.7904000282287598, train_accuracy=0.8020833)
EpochMetrics(epoch=107, total_rounds=80, total_fda_steps=11146, accuracy=0.7890999913215637, train_accuracy=0.84583336)
EpochMetrics(epoch=108, total_rounds=81, total_fda_steps=11251, accuracy=0.7901999950408936, train_accuracy=0.80833334)
EpochMetrics(epoch=109, total_rounds=82, total_fda_steps=11355, accuracy=0.8026999831199646, train_accuracy=0.8041667)
EpochMetrics(epoch=110, total_rounds=83, total_fda_steps=11459, accuracy=0.7943999767303467, train_accuracy=0.8625)
EpochMetrics(epoch=111, total_rounds=83, total_fda_steps=11563, accuracy=0.7936999797821045, train_accuracy=0.8354167)
EpochMetrics(epoch=112, total_rounds=84, total_fda_steps=11667, accuracy=0.7962999939918518, train_accuracy=0.80625)
EpochMetrics(epoch=113, total_rounds=85, total_fda_steps=11771, accuracy=0.7973999977111816, train_accuracy=0.83125)
EpochMetrics(epoch=114, total_rounds=86, total_fda_steps=11876, accuracy=0.7940000295639038, train_accuracy=0.825)
EpochMetrics(epoch=115, total_rounds=87, total_fda_steps=11980, accuracy=0.7994999885559082, train_accuracy=0.84166664)
EpochMetrics(epoch=116, total_rounds=88, total_fda_steps=12084, accuracy=0.7872999906539917, train_accuracy=0.83958334)
EpochMetrics(epoch=117, total_rounds=88, total_fda_steps=12188, accuracy=0.791700005531311, train_accuracy=0.81666666)
