Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : linear
Num Clients : 25
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=67, total_rounds=46, total_fda_steps=4188, accuracy=0.7157999873161316, train_accuracy=0.73375)
EpochMetrics(epoch=68, total_rounds=47, total_fda_steps=4250, accuracy=0.7210999727249146, train_accuracy=0.74125)
EpochMetrics(epoch=69, total_rounds=47, total_fda_steps=4313, accuracy=0.7275000214576721, train_accuracy=0.74625)
EpochMetrics(epoch=70, total_rounds=47, total_fda_steps=4375, accuracy=0.7232999801635742, train_accuracy=0.7675)
EpochMetrics(epoch=71, total_rounds=48, total_fda_steps=4438, accuracy=0.7335000038146973, train_accuracy=0.75125)
EpochMetrics(epoch=72, total_rounds=48, total_fda_steps=4500, accuracy=0.7311999797821045, train_accuracy=0.735)
EpochMetrics(epoch=73, total_rounds=49, total_fda_steps=4563, accuracy=0.7372000217437744, train_accuracy=0.765)
EpochMetrics(epoch=74, total_rounds=49, total_fda_steps=4625, accuracy=0.7343999743461609, train_accuracy=0.74125)
EpochMetrics(epoch=75, total_rounds=50, total_fda_steps=4688, accuracy=0.7368999719619751, train_accuracy=0.75375)
EpochMetrics(epoch=76, total_rounds=51, total_fda_steps=4750, accuracy=0.7346000075340271, train_accuracy=0.74125)
EpochMetrics(epoch=77, total_rounds=51, total_fda_steps=4813, accuracy=0.7329000234603882, train_accuracy=0.78375)
EpochMetrics(epoch=78, total_rounds=52, total_fda_steps=4875, accuracy=0.7404000163078308, train_accuracy=0.76375)
EpochMetrics(epoch=79, total_rounds=52, total_fda_steps=4938, accuracy=0.7426999807357788, train_accuracy=0.74875)
EpochMetrics(epoch=80, total_rounds=53, total_fda_steps=5000, accuracy=0.7423999905586243, train_accuracy=0.7575)
EpochMetrics(epoch=81, total_rounds=53, total_fda_steps=5063, accuracy=0.7389000058174133, train_accuracy=0.7525)
EpochMetrics(epoch=82, total_rounds=54, total_fda_steps=5125, accuracy=0.7430999875068665, train_accuracy=0.76125)
EpochMetrics(epoch=83, total_rounds=54, total_fda_steps=5188, accuracy=0.7404000163078308, train_accuracy=0.79)
EpochMetrics(epoch=84, total_rounds=55, total_fda_steps=5250, accuracy=0.7419999837875366, train_accuracy=0.7525)
EpochMetrics(epoch=85, total_rounds=55, total_fda_steps=5313, accuracy=0.7408999800682068, train_accuracy=0.7675)
EpochMetrics(epoch=86, total_rounds=56, total_fda_steps=5375, accuracy=0.7504000067710876, train_accuracy=0.7825)
EpochMetrics(epoch=87, total_rounds=56, total_fda_steps=5438, accuracy=0.7498000264167786, train_accuracy=0.75875)
EpochMetrics(epoch=88, total_rounds=57, total_fda_steps=5500, accuracy=0.7537000179290771, train_accuracy=0.79)
EpochMetrics(epoch=89, total_rounds=57, total_fda_steps=5563, accuracy=0.7487999796867371, train_accuracy=0.7825)
EpochMetrics(epoch=90, total_rounds=58, total_fda_steps=5625, accuracy=0.7542999982833862, train_accuracy=0.78375)
EpochMetrics(epoch=91, total_rounds=59, total_fda_steps=5688, accuracy=0.7509999871253967, train_accuracy=0.79875)
EpochMetrics(epoch=92, total_rounds=59, total_fda_steps=5750, accuracy=0.7563999891281128, train_accuracy=0.75875)
EpochMetrics(epoch=93, total_rounds=60, total_fda_steps=5813, accuracy=0.7583000063896179, train_accuracy=0.77125)
EpochMetrics(epoch=94, total_rounds=60, total_fda_steps=5875, accuracy=0.7578999996185303, train_accuracy=0.81625)
EpochMetrics(epoch=95, total_rounds=61, total_fda_steps=5938, accuracy=0.7587000131607056, train_accuracy=0.80875)
EpochMetrics(epoch=96, total_rounds=61, total_fda_steps=6000, accuracy=0.7585999965667725, train_accuracy=0.825)
EpochMetrics(epoch=97, total_rounds=62, total_fda_steps=6063, accuracy=0.7590000033378601, train_accuracy=0.7725)
EpochMetrics(epoch=98, total_rounds=63, total_fda_steps=6125, accuracy=0.7638000249862671, train_accuracy=0.80125)
EpochMetrics(epoch=99, total_rounds=63, total_fda_steps=6188, accuracy=0.7639999985694885, train_accuracy=0.825)
EpochMetrics(epoch=100, total_rounds=64, total_fda_steps=6250, accuracy=0.7595000267028809, train_accuracy=0.79125)
EpochMetrics(epoch=101, total_rounds=64, total_fda_steps=6313, accuracy=0.7648000121116638, train_accuracy=0.8125)
EpochMetrics(epoch=102, total_rounds=65, total_fda_steps=6375, accuracy=0.7682999968528748, train_accuracy=0.80125)
EpochMetrics(epoch=103, total_rounds=65, total_fda_steps=6438, accuracy=0.7649999856948853, train_accuracy=0.82625)
EpochMetrics(epoch=104, total_rounds=66, total_fda_steps=6500, accuracy=0.765999972820282, train_accuracy=0.79125)
EpochMetrics(epoch=105, total_rounds=66, total_fda_steps=6563, accuracy=0.7646999955177307, train_accuracy=0.80875)
EpochMetrics(epoch=106, total_rounds=67, total_fda_steps=6625, accuracy=0.7699000239372253, train_accuracy=0.7875)
EpochMetrics(epoch=107, total_rounds=67, total_fda_steps=6688, accuracy=0.7577000260353088, train_accuracy=0.81)
EpochMetrics(epoch=108, total_rounds=68, total_fda_steps=6750, accuracy=0.7718999981880188, train_accuracy=0.81375)
EpochMetrics(epoch=109, total_rounds=68, total_fda_steps=6813, accuracy=0.7717000246047974, train_accuracy=0.8075)
EpochMetrics(epoch=110, total_rounds=69, total_fda_steps=6875, accuracy=0.7746999859809875, train_accuracy=0.79625)
EpochMetrics(epoch=111, total_rounds=70, total_fda_steps=6938, accuracy=0.7724999785423279, train_accuracy=0.8125)
EpochMetrics(epoch=112, total_rounds=70, total_fda_steps=7000, accuracy=0.7692000269889832, train_accuracy=0.82625)
EpochMetrics(epoch=113, total_rounds=71, total_fda_steps=7063, accuracy=0.7703999876976013, train_accuracy=0.82375)
EpochMetrics(epoch=114, total_rounds=71, total_fda_steps=7125, accuracy=0.7705000042915344, train_accuracy=0.8175)
EpochMetrics(epoch=115, total_rounds=72, total_fda_steps=7188, accuracy=0.7735999822616577, train_accuracy=0.80875)
EpochMetrics(epoch=116, total_rounds=72, total_fda_steps=7250, accuracy=0.771399974822998, train_accuracy=0.845)
EpochMetrics(epoch=117, total_rounds=73, total_fda_steps=7313, accuracy=0.7759000062942505, train_accuracy=0.825)
EpochMetrics(epoch=118, total_rounds=74, total_fda_steps=7375, accuracy=0.7774999737739563, train_accuracy=0.81625)
EpochMetrics(epoch=119, total_rounds=74, total_fda_steps=7438, accuracy=0.7831000089645386, train_accuracy=0.84625)
EpochMetrics(epoch=120, total_rounds=75, total_fda_steps=7500, accuracy=0.7810999751091003, train_accuracy=0.83375)
EpochMetrics(epoch=121, total_rounds=75, total_fda_steps=7563, accuracy=0.7802000045776367, train_accuracy=0.8125)
EpochMetrics(epoch=122, total_rounds=76, total_fda_steps=7625, accuracy=0.7821000218391418, train_accuracy=0.82125)
EpochMetrics(epoch=123, total_rounds=76, total_fda_steps=7688, accuracy=0.7723000049591064, train_accuracy=0.845)
EpochMetrics(epoch=124, total_rounds=77, total_fda_steps=7750, accuracy=0.7803000211715698, train_accuracy=0.84125)
EpochMetrics(epoch=125, total_rounds=78, total_fda_steps=7813, accuracy=0.7789999842643738, train_accuracy=0.845)
EpochMetrics(epoch=126, total_rounds=78, total_fda_steps=7875, accuracy=0.7789999842643738, train_accuracy=0.815)
EpochMetrics(epoch=127, total_rounds=79, total_fda_steps=7938, accuracy=0.7810999751091003, train_accuracy=0.81375)
EpochMetrics(epoch=128, total_rounds=79, total_fda_steps=8000, accuracy=0.7770000100135803, train_accuracy=0.86)
EpochMetrics(epoch=129, total_rounds=80, total_fda_steps=8063, accuracy=0.782800018787384, train_accuracy=0.81125)
EpochMetrics(epoch=130, total_rounds=81, total_fda_steps=8125, accuracy=0.7804999947547913, train_accuracy=0.8525)
EpochMetrics(epoch=131, total_rounds=81, total_fda_steps=8188, accuracy=0.7764000296592712, train_accuracy=0.83125)
EpochMetrics(epoch=132, total_rounds=82, total_fda_steps=8250, accuracy=0.7851999998092651, train_accuracy=0.8575)
EpochMetrics(epoch=133, total_rounds=82, total_fda_steps=8313, accuracy=0.7817999720573425, train_accuracy=0.8525)
EpochMetrics(epoch=134, total_rounds=83, total_fda_steps=8375, accuracy=0.7846999764442444, train_accuracy=0.8475)
EpochMetrics(epoch=135, total_rounds=84, total_fda_steps=8438, accuracy=0.7828999757766724, train_accuracy=0.82875)
EpochMetrics(epoch=136, total_rounds=84, total_fda_steps=8500, accuracy=0.786899983882904, train_accuracy=0.82625)
EpochMetrics(epoch=137, total_rounds=85, total_fda_steps=8563, accuracy=0.7875000238418579, train_accuracy=0.85625)
EpochMetrics(epoch=138, total_rounds=85, total_fda_steps=8625, accuracy=0.7821000218391418, train_accuracy=0.86125)
EpochMetrics(epoch=139, total_rounds=86, total_fda_steps=8688, accuracy=0.7876999974250793, train_accuracy=0.84625)
EpochMetrics(epoch=140, total_rounds=87, total_fda_steps=8750, accuracy=0.7874000072479248, train_accuracy=0.855)
EpochMetrics(epoch=141, total_rounds=87, total_fda_steps=8813, accuracy=0.7854999899864197, train_accuracy=0.83875)
EpochMetrics(epoch=142, total_rounds=88, total_fda_steps=8875, accuracy=0.7900999784469604, train_accuracy=0.84125)
EpochMetrics(epoch=143, total_rounds=88, total_fda_steps=8938, accuracy=0.7857000231742859, train_accuracy=0.845)
EpochMetrics(epoch=144, total_rounds=89, total_fda_steps=9000, accuracy=0.7886000275611877, train_accuracy=0.84125)
EpochMetrics(epoch=145, total_rounds=90, total_fda_steps=9063, accuracy=0.7885000109672546, train_accuracy=0.85625)
EpochMetrics(epoch=146, total_rounds=90, total_fda_steps=9125, accuracy=0.7865999937057495, train_accuracy=0.86375)
EpochMetrics(epoch=147, total_rounds=91, total_fda_steps=9188, accuracy=0.7939000129699707, train_accuracy=0.8575)
EpochMetrics(epoch=148, total_rounds=91, total_fda_steps=9250, accuracy=0.7853999733924866, train_accuracy=0.86125)
EpochMetrics(epoch=149, total_rounds=92, total_fda_steps=9313, accuracy=0.7889999747276306, train_accuracy=0.86375)
EpochMetrics(epoch=150, total_rounds=93, total_fda_steps=9375, accuracy=0.7914999723434448, train_accuracy=0.845)
EpochMetrics(epoch=151, total_rounds=93, total_fda_steps=9438, accuracy=0.7878999710083008, train_accuracy=0.8525)
EpochMetrics(epoch=152, total_rounds=94, total_fda_steps=9500, accuracy=0.7914999723434448, train_accuracy=0.83875)
EpochMetrics(epoch=153, total_rounds=95, total_fda_steps=9563, accuracy=0.7965999841690063, train_accuracy=0.85)
EpochMetrics(epoch=154, total_rounds=95, total_fda_steps=9625, accuracy=0.7876999974250793, train_accuracy=0.8375)
EpochMetrics(epoch=155, total_rounds=96, total_fda_steps=9688, accuracy=0.7962999939918518, train_accuracy=0.82875)
EpochMetrics(epoch=156, total_rounds=97, total_fda_steps=9750, accuracy=0.7953000068664551, train_accuracy=0.84875)
EpochMetrics(epoch=157, total_rounds=97, total_fda_steps=9813, accuracy=0.7955999970436096, train_accuracy=0.87125)
EpochMetrics(epoch=158, total_rounds=98, total_fda_steps=9875, accuracy=0.789900004863739, train_accuracy=0.8525)
EpochMetrics(epoch=159, total_rounds=99, total_fda_steps=9938, accuracy=0.7882000207901001, train_accuracy=0.885)
EpochMetrics(epoch=160, total_rounds=99, total_fda_steps=10000, accuracy=0.7924000024795532, train_accuracy=0.835)
EpochMetrics(epoch=161, total_rounds=100, total_fda_steps=10063, accuracy=0.7950000166893005, train_accuracy=0.85875)
EpochMetrics(epoch=162, total_rounds=101, total_fda_steps=10125, accuracy=0.7967000007629395, train_accuracy=0.87375)
EpochMetrics(epoch=163, total_rounds=101, total_fda_steps=10188, accuracy=0.7950000166893005, train_accuracy=0.865)
EpochMetrics(epoch=164, total_rounds=102, total_fda_steps=10250, accuracy=0.7950000166893005, train_accuracy=0.86375)
EpochMetrics(epoch=165, total_rounds=103, total_fda_steps=10313, accuracy=0.7990999817848206, train_accuracy=0.8575)
EpochMetrics(epoch=166, total_rounds=103, total_fda_steps=10375, accuracy=0.792900025844574, train_accuracy=0.85625)
EpochMetrics(epoch=167, total_rounds=104, total_fda_steps=10438, accuracy=0.8004000186920166, train_accuracy=0.86)
EpochMetrics(epoch=168, total_rounds=105, total_fda_steps=10500, accuracy=0.7943000197410583, train_accuracy=0.8925)
EpochMetrics(epoch=169, total_rounds=105, total_fda_steps=10563, accuracy=0.7972000241279602, train_accuracy=0.8825)
EpochMetrics(epoch=170, total_rounds=106, total_fda_steps=10625, accuracy=0.802299976348877, train_accuracy=0.8625)
EpochMetrics(epoch=171, total_rounds=107, total_fda_steps=10688, accuracy=0.7961000204086304, train_accuracy=0.87375)
EpochMetrics(epoch=172, total_rounds=107, total_fda_steps=10750, accuracy=0.7904000282287598, train_accuracy=0.86)
EpochMetrics(epoch=173, total_rounds=108, total_fda_steps=10813, accuracy=0.8029000163078308, train_accuracy=0.875)
EpochMetrics(epoch=174, total_rounds=109, total_fda_steps=10875, accuracy=0.7946000099182129, train_accuracy=0.8925)
EpochMetrics(epoch=175, total_rounds=109, total_fda_steps=10938, accuracy=0.8008000254631042, train_accuracy=0.8675)
EpochMetrics(epoch=176, total_rounds=110, total_fda_steps=11000, accuracy=0.801800012588501, train_accuracy=0.85875)
EpochMetrics(epoch=177, total_rounds=111, total_fda_steps=11063, accuracy=0.8011999726295471, train_accuracy=0.87625)
EpochMetrics(epoch=178, total_rounds=111, total_fda_steps=11125, accuracy=0.7994999885559082, train_accuracy=0.8475)
EpochMetrics(epoch=179, total_rounds=112, total_fda_steps=11188, accuracy=0.8034999966621399, train_accuracy=0.865)
EpochMetrics(epoch=180, total_rounds=113, total_fda_steps=11250, accuracy=0.8019000291824341, train_accuracy=0.885)
EpochMetrics(epoch=181, total_rounds=113, total_fda_steps=11313, accuracy=0.7942000031471252, train_accuracy=0.86625)
EpochMetrics(epoch=182, total_rounds=114, total_fda_steps=11375, accuracy=0.8029999732971191, train_accuracy=0.8525)
EpochMetrics(epoch=183, total_rounds=115, total_fda_steps=11438, accuracy=0.8029000163078308, train_accuracy=0.8975)
EpochMetrics(epoch=184, total_rounds=115, total_fda_steps=11500, accuracy=0.801800012588501, train_accuracy=0.88)
EpochMetrics(epoch=185, total_rounds=116, total_fda_steps=11563, accuracy=0.8069000244140625, train_accuracy=0.87375)
EpochMetrics(epoch=186, total_rounds=117, total_fda_steps=11625, accuracy=0.805400013923645, train_accuracy=0.8675)
EpochMetrics(epoch=187, total_rounds=117, total_fda_steps=11688, accuracy=0.7957000136375427, train_accuracy=0.86625)
EpochMetrics(epoch=188, total_rounds=118, total_fda_steps=11750, accuracy=0.8023999929428101, train_accuracy=0.85375)
EpochMetrics(epoch=189, total_rounds=119, total_fda_steps=11813, accuracy=0.8050000071525574, train_accuracy=0.87375)
EpochMetrics(epoch=190, total_rounds=119, total_fda_steps=11875, accuracy=0.8001000285148621, train_accuracy=0.84875)
EpochMetrics(epoch=191, total_rounds=120, total_fda_steps=11938, accuracy=0.8025000095367432, train_accuracy=0.8575)
EpochMetrics(epoch=192, total_rounds=121, total_fda_steps=12000, accuracy=0.8044999837875366, train_accuracy=0.87625)
EpochMetrics(epoch=193, total_rounds=122, total_fda_steps=12063, accuracy=0.8082000017166138, train_accuracy=0.88)
EpochMetrics(epoch=194, total_rounds=122, total_fda_steps=12125, accuracy=0.8019999861717224, train_accuracy=0.85125)
EpochMetrics(epoch=195, total_rounds=123, total_fda_steps=12188, accuracy=0.8077999949455261, train_accuracy=0.8575)
EpochMetrics(epoch=196, total_rounds=124, total_fda_steps=12250, accuracy=0.8061000108718872, train_accuracy=0.88375)
EpochMetrics(epoch=197, total_rounds=124, total_fda_steps=12313, accuracy=0.7976999878883362, train_accuracy=0.8675)
