Running program

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=51, total_rounds=1196, total_fda_steps=1196, accuracy=0.9639000296592712)
EpochMetrics(epoch=52, total_rounds=1219, total_fda_steps=1219, accuracy=0.9639999866485596)
EpochMetrics(epoch=53, total_rounds=1243, total_fda_steps=1243, accuracy=0.9645000100135803)
EpochMetrics(epoch=54, total_rounds=1266, total_fda_steps=1266, accuracy=0.9643999934196472)
EpochMetrics(epoch=55, total_rounds=1290, total_fda_steps=1290, accuracy=0.9645000100135803)
EpochMetrics(epoch=56, total_rounds=1313, total_fda_steps=1313, accuracy=0.9643999934196472)
EpochMetrics(epoch=57, total_rounds=1336, total_fda_steps=1336, accuracy=0.9648000001907349)
EpochMetrics(epoch=58, total_rounds=1360, total_fda_steps=1360, accuracy=0.9643999934196472)
EpochMetrics(epoch=59, total_rounds=1383, total_fda_steps=1383, accuracy=0.9650999903678894)
EpochMetrics(epoch=60, total_rounds=1407, total_fda_steps=1407, accuracy=0.9646000266075134)
EpochMetrics(epoch=61, total_rounds=1430, total_fda_steps=1430, accuracy=0.9650999903678894)
EpochMetrics(epoch=62, total_rounds=1454, total_fda_steps=1454, accuracy=0.965499997138977)
EpochMetrics(epoch=63, total_rounds=1477, total_fda_steps=1477, accuracy=0.9652000069618225)
EpochMetrics(epoch=64, total_rounds=1500, total_fda_steps=1500, accuracy=0.9653000235557556)
EpochMetrics(epoch=65, total_rounds=1524, total_fda_steps=1524, accuracy=0.9650999903678894)
EpochMetrics(epoch=66, total_rounds=1547, total_fda_steps=1547, accuracy=0.965499997138977)
EpochMetrics(epoch=67, total_rounds=1571, total_fda_steps=1571, accuracy=0.9660000205039978)
EpochMetrics(epoch=68, total_rounds=1594, total_fda_steps=1594, accuracy=0.9656000137329102)
EpochMetrics(epoch=69, total_rounds=1618, total_fda_steps=1618, accuracy=0.9659000039100647)
EpochMetrics(epoch=70, total_rounds=1641, total_fda_steps=1641, accuracy=0.9660000205039978)
EpochMetrics(epoch=71, total_rounds=1665, total_fda_steps=1665, accuracy=0.9656000137329102)
EpochMetrics(epoch=72, total_rounds=1688, total_fda_steps=1688, accuracy=0.9660000205039978)
EpochMetrics(epoch=73, total_rounds=1711, total_fda_steps=1711, accuracy=0.9664999842643738)
EpochMetrics(epoch=74, total_rounds=1735, total_fda_steps=1735, accuracy=0.9664999842643738)
EpochMetrics(epoch=75, total_rounds=1758, total_fda_steps=1758, accuracy=0.9664000272750854)
EpochMetrics(epoch=76, total_rounds=1782, total_fda_steps=1782, accuracy=0.9668999910354614)
EpochMetrics(epoch=77, total_rounds=1805, total_fda_steps=1805, accuracy=0.9670000076293945)
EpochMetrics(epoch=78, total_rounds=1829, total_fda_steps=1829, accuracy=0.96670001745224)
EpochMetrics(epoch=79, total_rounds=1852, total_fda_steps=1852, accuracy=0.9664999842643738)
EpochMetrics(epoch=80, total_rounds=1875, total_fda_steps=1875, accuracy=0.9668999910354614)
EpochMetrics(epoch=81, total_rounds=1899, total_fda_steps=1899, accuracy=0.9670000076293945)
EpochMetrics(epoch=82, total_rounds=1922, total_fda_steps=1922, accuracy=0.967199981212616)
EpochMetrics(epoch=83, total_rounds=1946, total_fda_steps=1946, accuracy=0.9663000106811523)
EpochMetrics(epoch=84, total_rounds=1969, total_fda_steps=1969, accuracy=0.9663000106811523)
EpochMetrics(epoch=85, total_rounds=1993, total_fda_steps=1993, accuracy=0.9670000076293945)
EpochMetrics(epoch=86, total_rounds=2016, total_fda_steps=2016, accuracy=0.9670000076293945)
slurm_localid : 0
Running on node : 1
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 2

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 15
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=16, total_fda_steps=16, accuracy=0.4032999873161316)
EpochMetrics(epoch=2, total_rounds=32, total_fda_steps=32, accuracy=0.5375000238418579)
EpochMetrics(epoch=3, total_rounds=47, total_fda_steps=47, accuracy=0.7131999731063843)
EpochMetrics(epoch=4, total_rounds=63, total_fda_steps=63, accuracy=0.8004000186920166)
EpochMetrics(epoch=5, total_rounds=79, total_fda_steps=79, accuracy=0.8381999731063843)
EpochMetrics(epoch=6, total_rounds=94, total_fda_steps=94, accuracy=0.8600000143051147)
EpochMetrics(epoch=7, total_rounds=110, total_fda_steps=110, accuracy=0.876800000667572)
EpochMetrics(epoch=8, total_rounds=125, total_fda_steps=125, accuracy=0.8862000107765198)
EpochMetrics(epoch=9, total_rounds=141, total_fda_steps=141, accuracy=0.8964999914169312)
EpochMetrics(epoch=10, total_rounds=157, total_fda_steps=157, accuracy=0.9052000045776367)
EpochMetrics(epoch=11, total_rounds=172, total_fda_steps=172, accuracy=0.9121000170707703)
EpochMetrics(epoch=12, total_rounds=188, total_fda_steps=188, accuracy=0.91839998960495)
EpochMetrics(epoch=13, total_rounds=204, total_fda_steps=204, accuracy=0.9229999780654907)
EpochMetrics(epoch=14, total_rounds=219, total_fda_steps=219, accuracy=0.9283000230789185)
EpochMetrics(epoch=15, total_rounds=235, total_fda_steps=235, accuracy=0.9322999715805054)
EpochMetrics(epoch=16, total_rounds=250, total_fda_steps=250, accuracy=0.9345999956130981)
EpochMetrics(epoch=17, total_rounds=266, total_fda_steps=266, accuracy=0.9376999735832214)
EpochMetrics(epoch=18, total_rounds=282, total_fda_steps=282, accuracy=0.9401000142097473)
EpochMetrics(epoch=19, total_rounds=297, total_fda_steps=297, accuracy=0.9416999816894531)
EpochMetrics(epoch=20, total_rounds=313, total_fda_steps=313, accuracy=0.9437000155448914)
EpochMetrics(epoch=21, total_rounds=329, total_fda_steps=329, accuracy=0.9459999799728394)
EpochMetrics(epoch=22, total_rounds=344, total_fda_steps=344, accuracy=0.9476000070571899)
EpochMetrics(epoch=23, total_rounds=360, total_fda_steps=360, accuracy=0.9498999714851379)
EpochMetrics(epoch=24, total_rounds=375, total_fda_steps=375, accuracy=0.9523000121116638)
EpochMetrics(epoch=25, total_rounds=391, total_fda_steps=391, accuracy=0.9508000016212463)
EpochMetrics(epoch=26, total_rounds=407, total_fda_steps=407, accuracy=0.9538999795913696)
EpochMetrics(epoch=27, total_rounds=422, total_fda_steps=422, accuracy=0.9528999924659729)
EpochMetrics(epoch=28, total_rounds=438, total_fda_steps=438, accuracy=0.9556999802589417)
EpochMetrics(epoch=29, total_rounds=454, total_fda_steps=454, accuracy=0.9559999704360962)
EpochMetrics(epoch=30, total_rounds=469, total_fda_steps=469, accuracy=0.9567000269889832)
EpochMetrics(epoch=31, total_rounds=485, total_fda_steps=485, accuracy=0.9578999876976013)
EpochMetrics(epoch=32, total_rounds=500, total_fda_steps=500, accuracy=0.958299994468689)
EpochMetrics(epoch=33, total_rounds=516, total_fda_steps=516, accuracy=0.9585999846458435)
EpochMetrics(epoch=34, total_rounds=532, total_fda_steps=532, accuracy=0.960099995136261)
EpochMetrics(epoch=35, total_rounds=547, total_fda_steps=547, accuracy=0.9606000185012817)
EpochMetrics(epoch=36, total_rounds=563, total_fda_steps=563, accuracy=0.9611999988555908)
EpochMetrics(epoch=37, total_rounds=579, total_fda_steps=579, accuracy=0.9616000056266785)
EpochMetrics(epoch=38, total_rounds=594, total_fda_steps=594, accuracy=0.963100016117096)
EpochMetrics(epoch=39, total_rounds=610, total_fda_steps=610, accuracy=0.9628999829292297)
EpochMetrics(epoch=40, total_rounds=625, total_fda_steps=625, accuracy=0.9635999798774719)
EpochMetrics(epoch=41, total_rounds=641, total_fda_steps=641, accuracy=0.9642999768257141)
EpochMetrics(epoch=42, total_rounds=657, total_fda_steps=657, accuracy=0.9641000032424927)
EpochMetrics(epoch=43, total_rounds=672, total_fda_steps=672, accuracy=0.9646000266075134)
EpochMetrics(epoch=44, total_rounds=688, total_fda_steps=688, accuracy=0.9635999798774719)
EpochMetrics(epoch=45, total_rounds=704, total_fda_steps=704, accuracy=0.9657999873161316)
EpochMetrics(epoch=46, total_rounds=719, total_fda_steps=719, accuracy=0.9652000069618225)
EpochMetrics(epoch=47, total_rounds=735, total_fda_steps=735, accuracy=0.9660999774932861)
EpochMetrics(epoch=48, total_rounds=750, total_fda_steps=750, accuracy=0.9656000137329102)
EpochMetrics(epoch=49, total_rounds=766, total_fda_steps=766, accuracy=0.9668999910354614)
EpochMetrics(epoch=50, total_rounds=782, total_fda_steps=782, accuracy=0.9672999978065491)
EpochMetrics(epoch=51, total_rounds=797, total_fda_steps=797, accuracy=0.9674000144004822)
EpochMetrics(epoch=52, total_rounds=813, total_fda_steps=813, accuracy=0.9667999744415283)
EpochMetrics(epoch=53, total_rounds=829, total_fda_steps=829, accuracy=0.9678000211715698)
EpochMetrics(epoch=54, total_rounds=844, total_fda_steps=844, accuracy=0.9678999781608582)
EpochMetrics(epoch=55, total_rounds=860, total_fda_steps=860, accuracy=0.9682999849319458)
EpochMetrics(epoch=56, total_rounds=875, total_fda_steps=875, accuracy=0.9674999713897705)
EpochMetrics(epoch=57, total_rounds=891, total_fda_steps=891, accuracy=0.9677000045776367)
EpochMetrics(epoch=58, total_rounds=907, total_fda_steps=907, accuracy=0.9682999849319458)
EpochMetrics(epoch=59, total_rounds=922, total_fda_steps=922, accuracy=0.9678999781608582)
EpochMetrics(epoch=60, total_rounds=938, total_fda_steps=938, accuracy=0.9679999947547913)
EpochMetrics(epoch=61, total_rounds=954, total_fda_steps=954, accuracy=0.9684000015258789)
EpochMetrics(epoch=62, total_rounds=969, total_fda_steps=969, accuracy=0.9685999751091003)
EpochMetrics(epoch=63, total_rounds=985, total_fda_steps=985, accuracy=0.9689000248908997)
EpochMetrics(epoch=64, total_rounds=1000, total_fda_steps=1000, accuracy=0.9686999917030334)
EpochMetrics(epoch=65, total_rounds=1016, total_fda_steps=1016, accuracy=0.968999981880188)
EpochMetrics(epoch=66, total_rounds=1032, total_fda_steps=1032, accuracy=0.968999981880188)
EpochMetrics(epoch=67, total_rounds=1047, total_fda_steps=1047, accuracy=0.9692999720573425)
EpochMetrics(epoch=68, total_rounds=1063, total_fda_steps=1063, accuracy=0.9697999954223633)
EpochMetrics(epoch=69, total_rounds=1079, total_fda_steps=1079, accuracy=0.9696000218391418)
EpochMetrics(epoch=70, total_rounds=1094, total_fda_steps=1094, accuracy=0.9703999757766724)
EpochMetrics(epoch=71, total_rounds=1110, total_fda_steps=1110, accuracy=0.9696999788284302)
EpochMetrics(epoch=72, total_rounds=1125, total_fda_steps=1125, accuracy=0.9700000286102295)
EpochMetrics(epoch=73, total_rounds=1141, total_fda_steps=1141, accuracy=0.9704999923706055)
EpochMetrics(epoch=74, total_rounds=1157, total_fda_steps=1157, accuracy=0.9697999954223633)
EpochMetrics(epoch=75, total_rounds=1172, total_fda_steps=1172, accuracy=0.9696999788284302)
EpochMetrics(epoch=76, total_rounds=1188, total_fda_steps=1188, accuracy=0.970300018787384)
EpochMetrics(epoch=77, total_rounds=1204, total_fda_steps=1204, accuracy=0.9700999855995178)
EpochMetrics(epoch=78, total_rounds=1219, total_fda_steps=1219, accuracy=0.9703999757766724)
EpochMetrics(epoch=79, total_rounds=1235, total_fda_steps=1235, accuracy=0.9700999855995178)
EpochMetrics(epoch=80, total_rounds=1250, total_fda_steps=1250, accuracy=0.9700000286102295)
EpochMetrics(epoch=81, total_rounds=1266, total_fda_steps=1266, accuracy=0.9702000021934509)
EpochMetrics(epoch=82, total_rounds=1282, total_fda_steps=1282, accuracy=0.9699000120162964)
EpochMetrics(epoch=83, total_rounds=1297, total_fda_steps=1297, accuracy=0.9702000021934509)
EpochMetrics(epoch=84, total_rounds=1313, total_fda_steps=1313, accuracy=0.9703999757766724)
EpochMetrics(epoch=85, total_rounds=1329, total_fda_steps=1329, accuracy=0.9702000021934509)
EpochMetrics(epoch=86, total_rounds=1344, total_fda_steps=1344, accuracy=0.970300018787384)
slurm_localid : 1
Running on node : 1
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 1

Test procid: 3

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 20
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=12, total_fda_steps=12, accuracy=0.46149998903274536)
EpochMetrics(epoch=2, total_rounds=24, total_fda_steps=24, accuracy=0.4487999975681305)
EpochMetrics(epoch=3, total_rounds=36, total_fda_steps=36, accuracy=0.6122999787330627)
EpochMetrics(epoch=4, total_rounds=47, total_fda_steps=47, accuracy=0.7121000289916992)
EpochMetrics(epoch=5, total_rounds=59, total_fda_steps=59, accuracy=0.7893000245094299)
EpochMetrics(epoch=6, total_rounds=71, total_fda_steps=71, accuracy=0.8192999958992004)
EpochMetrics(epoch=7, total_rounds=83, total_fda_steps=83, accuracy=0.8409000039100647)
EpochMetrics(epoch=8, total_rounds=94, total_fda_steps=94, accuracy=0.8546000123023987)
EpochMetrics(epoch=9, total_rounds=106, total_fda_steps=106, accuracy=0.8686000108718872)
EpochMetrics(epoch=10, total_rounds=118, total_fda_steps=118, accuracy=0.8797000050544739)
EpochMetrics(epoch=11, total_rounds=129, total_fda_steps=129, accuracy=0.8870999813079834)
EpochMetrics(epoch=12, total_rounds=141, total_fda_steps=141, accuracy=0.8946999907493591)
EpochMetrics(epoch=13, total_rounds=153, total_fda_steps=153, accuracy=0.9014000296592712)
