Running program
Environment

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=11, total_rounds=2063, total_fda_steps=2063, accuracy=0.9775000214576721)
EpochMetrics(epoch=12, total_rounds=2250, total_fda_steps=2250, accuracy=0.977400004863739)
EpochMetrics(epoch=13, total_rounds=2438, total_fda_steps=2438, accuracy=0.9757999777793884)
EpochMetrics(epoch=14, total_rounds=2625, total_fda_steps=2625, accuracy=0.9771000146865845)
EpochMetrics(epoch=15, total_rounds=2813, total_fda_steps=2813, accuracy=0.9757999777793884)
EpochMetrics(epoch=16, total_rounds=3000, total_fda_steps=3000, accuracy=0.977400004863739)
EpochMetrics(epoch=17, total_rounds=3188, total_fda_steps=3188, accuracy=0.9757999777793884)
EpochMetrics(epoch=18, total_rounds=3375, total_fda_steps=3375, accuracy=0.9768000245094299)
EpochMetrics(epoch=19, total_rounds=3563, total_fda_steps=3563, accuracy=0.9771999716758728)
EpochMetrics(epoch=20, total_rounds=3750, total_fda_steps=3750, accuracy=0.9761000275611877)
EpochMetrics(epoch=21, total_rounds=3938, total_fda_steps=3938, accuracy=0.9776999950408936)
EpochMetrics(epoch=22, total_rounds=4125, total_fda_steps=4125, accuracy=0.9803000092506409)
EpochMetrics(epoch=23, total_rounds=4313, total_fda_steps=4313, accuracy=0.979200005531311)
EpochMetrics(epoch=24, total_rounds=4500, total_fda_steps=4500, accuracy=0.9779999852180481)
EpochMetrics(epoch=25, total_rounds=4688, total_fda_steps=4688, accuracy=0.9793999791145325)
EpochMetrics(epoch=26, total_rounds=4875, total_fda_steps=4875, accuracy=0.9796000123023987)
EpochMetrics(epoch=27, total_rounds=5063, total_fda_steps=5063, accuracy=0.9793000221252441)
EpochMetrics(epoch=28, total_rounds=5250, total_fda_steps=5250, accuracy=0.9789999723434448)
EpochMetrics(epoch=29, total_rounds=5438, total_fda_steps=5438, accuracy=0.9782999753952026)
EpochMetrics(epoch=30, total_rounds=5625, total_fda_steps=5625, accuracy=0.979200005531311)
EpochMetrics(epoch=31, total_rounds=5813, total_fda_steps=5813, accuracy=0.9807999730110168)
EpochMetrics(epoch=32, total_rounds=6000, total_fda_steps=6000, accuracy=0.9800999760627747)
EpochMetrics(epoch=33, total_rounds=6188, total_fda_steps=6188, accuracy=0.9797000288963318)
EpochMetrics(epoch=34, total_rounds=6375, total_fda_steps=6375, accuracy=0.9804999828338623)
EpochMetrics(epoch=35, total_rounds=6563, total_fda_steps=6563, accuracy=0.9786999821662903)
EpochMetrics(epoch=36, total_rounds=6750, total_fda_steps=6750, accuracy=0.9765999913215637)
EpochMetrics(epoch=37, total_rounds=6938, total_fda_steps=6938, accuracy=0.9815999865531921)
EpochMetrics(epoch=38, total_rounds=7125, total_fda_steps=7125, accuracy=0.9811999797821045)
EpochMetrics(epoch=39, total_rounds=7313, total_fda_steps=7313, accuracy=0.9810000061988831)
EpochMetrics(epoch=40, total_rounds=7500, total_fda_steps=7500, accuracy=0.9767000079154968)
EpochMetrics(epoch=41, total_rounds=7688, total_fda_steps=7688, accuracy=0.9771000146865845)
EpochMetrics(epoch=42, total_rounds=7875, total_fda_steps=7875, accuracy=0.9799000024795532)
EpochMetrics(epoch=43, total_rounds=8063, total_fda_steps=8063, accuracy=0.9787999987602234)
EpochMetrics(epoch=44, total_rounds=8250, total_fda_steps=8250, accuracy=0.9797999858856201)
EpochMetrics(epoch=45, total_rounds=8438, total_fda_steps=8438, accuracy=0.9815999865531921)
EpochMetrics(epoch=46, total_rounds=8625, total_fda_steps=8625, accuracy=0.9811999797821045)
EpochMetrics(epoch=47, total_rounds=8813, total_fda_steps=8813, accuracy=0.9821000099182129)
EpochMetrics(epoch=48, total_rounds=9000, total_fda_steps=9000, accuracy=0.982200026512146)
EpochMetrics(epoch=49, total_rounds=9188, total_fda_steps=9188, accuracy=0.9825999736785889)
EpochMetrics(epoch=50, total_rounds=9375, total_fda_steps=9375, accuracy=0.9793999791145325)
EpochMetrics(epoch=51, total_rounds=9563, total_fda_steps=9563, accuracy=0.9814000129699707)
EpochMetrics(epoch=52, total_rounds=9750, total_fda_steps=9750, accuracy=0.982200026512146)
EpochMetrics(epoch=53, total_rounds=9938, total_fda_steps=9938, accuracy=0.9811000227928162)
EpochMetrics(epoch=54, total_rounds=10125, total_fda_steps=10125, accuracy=0.9829000234603882)
EpochMetrics(epoch=55, total_rounds=10313, total_fda_steps=10313, accuracy=0.9833999872207642)
EpochMetrics(epoch=56, total_rounds=10500, total_fda_steps=10500, accuracy=0.9832000136375427)
EpochMetrics(epoch=57, total_rounds=10688, total_fda_steps=10688, accuracy=0.9800000190734863)
EpochMetrics(epoch=58, total_rounds=10875, total_fda_steps=10875, accuracy=0.9815999865531921)
EpochMetrics(epoch=59, total_rounds=11063, total_fda_steps=11063, accuracy=0.9824000000953674)
EpochMetrics(epoch=60, total_rounds=11250, total_fda_steps=11250, accuracy=0.9794999957084656)
EpochMetrics(epoch=61, total_rounds=11438, total_fda_steps=11438, accuracy=0.9821000099182129)
EpochMetrics(epoch=62, total_rounds=11625, total_fda_steps=11625, accuracy=0.9836000204086304)
EpochMetrics(epoch=63, total_rounds=11813, total_fda_steps=11813, accuracy=0.9814000129699707)
EpochMetrics(epoch=64, total_rounds=12000, total_fda_steps=12000, accuracy=0.9833999872207642)
EpochMetrics(epoch=65, total_rounds=12188, total_fda_steps=12188, accuracy=0.9828000068664551)
EpochMetrics(epoch=66, total_rounds=12375, total_fda_steps=12375, accuracy=0.9814000129699707)
EpochMetrics(epoch=67, total_rounds=12563, total_fda_steps=12563, accuracy=0.9811000227928162)
EpochMetrics(epoch=68, total_rounds=12750, total_fda_steps=12750, accuracy=0.9818000197410583)
EpochMetrics(epoch=69, total_rounds=12938, total_fda_steps=12938, accuracy=0.9846000075340271)
EpochMetrics(epoch=70, total_rounds=13125, total_fda_steps=13125, accuracy=0.982200026512146)
EpochMetrics(epoch=71, total_rounds=13313, total_fda_steps=13313, accuracy=0.9832000136375427)
EpochMetrics(epoch=72, total_rounds=13500, total_fda_steps=13500, accuracy=0.9829999804496765)
EpochMetrics(epoch=73, total_rounds=13688, total_fda_steps=13688, accuracy=0.979200005531311)
EpochMetrics(epoch=74, total_rounds=13875, total_fda_steps=13875, accuracy=0.9805999994277954)
EpochMetrics(epoch=75, total_rounds=14063, total_fda_steps=14063, accuracy=0.9825000166893005)
EpochMetrics(epoch=76, total_rounds=14250, total_fda_steps=14250, accuracy=0.983299970626831)
EpochMetrics(epoch=77, total_rounds=14438, total_fda_steps=14438, accuracy=0.9828000068664551)
EpochMetrics(epoch=78, total_rounds=14625, total_fda_steps=14625, accuracy=0.9832000136375427)
EpochMetrics(epoch=79, total_rounds=14813, total_fda_steps=14813, accuracy=0.9825000166893005)
EpochMetrics(epoch=80, total_rounds=15000, total_fda_steps=15000, accuracy=0.9836000204086304)
EpochMetrics(epoch=81, total_rounds=15188, total_fda_steps=15188, accuracy=0.9835000038146973)
EpochMetrics(epoch=82, total_rounds=15375, total_fda_steps=15375, accuracy=0.9846000075340271)
EpochMetrics(epoch=83, total_rounds=15563, total_fda_steps=15563, accuracy=0.9818999767303467)
EpochMetrics(epoch=84, total_rounds=15750, total_fda_steps=15750, accuracy=0.9837999939918518)
slurm_localid : 0
Running on node : 1
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 2

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 15
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=125, total_fda_steps=125, accuracy=0.8130000233650208)
EpochMetrics(epoch=2, total_rounds=250, total_fda_steps=250, accuracy=0.9437000155448914)
EpochMetrics(epoch=3, total_rounds=375, total_fda_steps=375, accuracy=0.9617000222206116)
EpochMetrics(epoch=4, total_rounds=500, total_fda_steps=500, accuracy=0.9718000292778015)
EpochMetrics(epoch=5, total_rounds=625, total_fda_steps=625, accuracy=0.9696999788284302)
EpochMetrics(epoch=6, total_rounds=750, total_fda_steps=750, accuracy=0.9771000146865845)
EpochMetrics(epoch=7, total_rounds=875, total_fda_steps=875, accuracy=0.9776999950408936)
EpochMetrics(epoch=8, total_rounds=1000, total_fda_steps=1000, accuracy=0.9778000116348267)
EpochMetrics(epoch=9, total_rounds=1125, total_fda_steps=1125, accuracy=0.9789999723434448)
EpochMetrics(epoch=10, total_rounds=1250, total_fda_steps=1250, accuracy=0.9789000153541565)
EpochMetrics(epoch=11, total_rounds=1375, total_fda_steps=1375, accuracy=0.9757999777793884)
EpochMetrics(epoch=12, total_rounds=1500, total_fda_steps=1500, accuracy=0.9797999858856201)
EpochMetrics(epoch=13, total_rounds=1625, total_fda_steps=1625, accuracy=0.9801999926567078)
EpochMetrics(epoch=14, total_rounds=1750, total_fda_steps=1750, accuracy=0.9782999753952026)
EpochMetrics(epoch=15, total_rounds=1875, total_fda_steps=1875, accuracy=0.9800999760627747)
EpochMetrics(epoch=16, total_rounds=2000, total_fda_steps=2000, accuracy=0.9786999821662903)
EpochMetrics(epoch=17, total_rounds=2125, total_fda_steps=2125, accuracy=0.9797000288963318)
EpochMetrics(epoch=18, total_rounds=2250, total_fda_steps=2250, accuracy=0.9811999797821045)
EpochMetrics(epoch=19, total_rounds=2375, total_fda_steps=2375, accuracy=0.9811000227928162)
EpochMetrics(epoch=20, total_rounds=2500, total_fda_steps=2500, accuracy=0.9764000177383423)
EpochMetrics(epoch=21, total_rounds=2625, total_fda_steps=2625, accuracy=0.9800999760627747)
EpochMetrics(epoch=22, total_rounds=2750, total_fda_steps=2750, accuracy=0.979200005531311)
EpochMetrics(epoch=23, total_rounds=2875, total_fda_steps=2875, accuracy=0.9789999723434448)
EpochMetrics(epoch=24, total_rounds=3000, total_fda_steps=3000, accuracy=0.9811999797821045)
EpochMetrics(epoch=25, total_rounds=3125, total_fda_steps=3125, accuracy=0.9818000197410583)
EpochMetrics(epoch=26, total_rounds=3250, total_fda_steps=3250, accuracy=0.979200005531311)
EpochMetrics(epoch=27, total_rounds=3375, total_fda_steps=3375, accuracy=0.9814000129699707)
EpochMetrics(epoch=28, total_rounds=3500, total_fda_steps=3500, accuracy=0.9810000061988831)
EpochMetrics(epoch=29, total_rounds=3625, total_fda_steps=3625, accuracy=0.980400025844574)
EpochMetrics(epoch=30, total_rounds=3750, total_fda_steps=3750, accuracy=0.9810000061988831)
EpochMetrics(epoch=31, total_rounds=3875, total_fda_steps=3875, accuracy=0.9799000024795532)
EpochMetrics(epoch=32, total_rounds=4000, total_fda_steps=4000, accuracy=0.9822999835014343)
EpochMetrics(epoch=33, total_rounds=4125, total_fda_steps=4125, accuracy=0.9818000197410583)
EpochMetrics(epoch=34, total_rounds=4250, total_fda_steps=4250, accuracy=0.982200026512146)
EpochMetrics(epoch=35, total_rounds=4375, total_fda_steps=4375, accuracy=0.9828000068664551)
EpochMetrics(epoch=36, total_rounds=4500, total_fda_steps=4500, accuracy=0.9810000061988831)
EpochMetrics(epoch=37, total_rounds=4625, total_fda_steps=4625, accuracy=0.9815999865531921)
EpochMetrics(epoch=38, total_rounds=4750, total_fda_steps=4750, accuracy=0.9804999828338623)
EpochMetrics(epoch=39, total_rounds=4875, total_fda_steps=4875, accuracy=0.9824000000953674)
EpochMetrics(epoch=40, total_rounds=5000, total_fda_steps=5000, accuracy=0.9824000000953674)
EpochMetrics(epoch=41, total_rounds=5125, total_fda_steps=5125, accuracy=0.9811000227928162)
EpochMetrics(epoch=42, total_rounds=5250, total_fda_steps=5250, accuracy=0.9821000099182129)
EpochMetrics(epoch=43, total_rounds=5375, total_fda_steps=5375, accuracy=0.9825000166893005)
EpochMetrics(epoch=44, total_rounds=5500, total_fda_steps=5500, accuracy=0.9787999987602234)
EpochMetrics(epoch=45, total_rounds=5625, total_fda_steps=5625, accuracy=0.9796000123023987)
EpochMetrics(epoch=46, total_rounds=5750, total_fda_steps=5750, accuracy=0.983299970626831)
EpochMetrics(epoch=47, total_rounds=5875, total_fda_steps=5875, accuracy=0.9817000031471252)
EpochMetrics(epoch=48, total_rounds=6000, total_fda_steps=6000, accuracy=0.9832000136375427)
EpochMetrics(epoch=49, total_rounds=6125, total_fda_steps=6125, accuracy=0.9819999933242798)
EpochMetrics(epoch=50, total_rounds=6250, total_fda_steps=6250, accuracy=0.9822999835014343)
EpochMetrics(epoch=51, total_rounds=6375, total_fda_steps=6375, accuracy=0.9811000227928162)
EpochMetrics(epoch=52, total_rounds=6500, total_fda_steps=6500, accuracy=0.982200026512146)
EpochMetrics(epoch=53, total_rounds=6625, total_fda_steps=6625, accuracy=0.9819999933242798)
EpochMetrics(epoch=54, total_rounds=6750, total_fda_steps=6750, accuracy=0.9824000000953674)
EpochMetrics(epoch=55, total_rounds=6875, total_fda_steps=6875, accuracy=0.9807999730110168)
EpochMetrics(epoch=56, total_rounds=7000, total_fda_steps=7000, accuracy=0.9797000288963318)
EpochMetrics(epoch=57, total_rounds=7125, total_fda_steps=7125, accuracy=0.9812999963760376)
EpochMetrics(epoch=58, total_rounds=7250, total_fda_steps=7250, accuracy=0.9822999835014343)
EpochMetrics(epoch=59, total_rounds=7375, total_fda_steps=7375, accuracy=0.9821000099182129)
EpochMetrics(epoch=60, total_rounds=7500, total_fda_steps=7500, accuracy=0.9829999804496765)
